Brand--ALLURE                          Description--PINK MOSCATO         	 Size--750ml	 STD_QTY--1	 YTD--5
Brand--ALLURE                          Description--PEACH BUBBLY         	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--ALMADEN                         Description--MERLOT               	 Size--5.0L 	 STD_QTY--1	 YTD--23
Brand--ALMADEN                         Description--CHARDONNAY           	 Size--5.0L 	 STD_QTY--1	 YTD--3
Brand--ALMADEN                         Description--MT. RED BURGUNDY     	 Size--5.0L 	 STD_QTY--1	 YTD--16
Brand--ALMADEN                         Description--PINOT GRIGIO         	 Size--5L   	 STD_QTY--1	 YTD--1
Brand--ALMADEN S                       Description--CABERNET SAUVIGNON   	 Size--5.0L 	 STD_QTY--1	 YTD--3
Brand--ALMADEN ZZ                      Description--MOUNTAIN WT.CHABLIS  	 Size--5.0L 	 STD_QTY--1	 YTD--0
Brand--ALMADEN ZZ                      Description--WHITE ZINFANDEL      	 Size--5.0L 	 STD_QTY--1	 YTD--0
Brand--ALMADENZZ                       Description--MOSCATO              	 Size--5.0L 	 STD_QTY--1	 YTD--0
Brand--ALTOS REPOSADO                  Description--REPOSADO             	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--ALTOS SILVER                    Description--TEQUILA SILVER       	 Size--750ml	 STD_QTY--0	 YTD--2
Brand--AMARETTO                        Description--DI AMORE             	 Size--750ml	 STD_QTY--1	 YTD--4
Brand--AMARETTO                        Description--DI AMORE             	 Size--375ml	 STD_QTY--1	 YTD--3
Brand--AMARULA                         Description--FRUIT CREAM          	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--AMERICAN HARVERST Z             Description--VODKA ORGANIC        	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--AMERICAN SPIRIT                 Description--YELLOW/LIGHT         	 Size--BOX  	 STD_QTY--1	 YTD--22
Brand--AMERICAN SPIRIT                 Description--BLUE FULL FLAVORED   	 Size--BOX  	 STD_QTY--1	 YTD--66
Brand--AMORE FRUTTI                    Description--PINEAPPLE MOSCATO    	 Size--750ml	 STD_QTY--0	 YTD--7
Brand--AMORE FRUTTI                    Description--BANANA               	 Size--750ml	 STD_QTY--1	 YTD--8
Brand--AMORE FRUTTI                    Description--RASPBERRY MOSCATO    	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--AMORE FRUTTI                    Description--STARWBERRY           	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--AMORE FRUTTI                    Description--WATERMELON           	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--AMORE FRUTTI  MANGO             Description--MANGO MOSCATO        	 Size--750ml	 STD_QTY--1	 YTD--12
Brand--AMP ENERGY DRINK                Description--AMP ENERGY DRINK     	 Size--16 OZ	 STD_QTY--1	 YTD--42
Brand--AMSTEL                          Description--LIGHT L/N            	 Size--12 OZ	 STD_QTY--6	 YTD--942
Brand--AMSTEL LT CAN                   Description--12 OZ CAN            	 Size--12 OZ	 STD_QTY--12	 YTD--0
Brand--AMSTEL RADLER                   Description--LEMON BEER           	 Size--12 OZ	 STD_QTY--6	 YTD--0
Brand--ANDRE                           Description--STRAWBERRY           	 Size--750ml	 STD_QTY--1	 YTD--26
Brand--ANDRE                           Description--PEACH PASSION        	 Size--750ml	 STD_QTY--1	 YTD--121
Brand--ANDRE                           Description--BLUSH                	 Size--750ml	 STD_QTY--1	 YTD--14
Brand--ANDRE                           Description--BRUT CHAMPAGNE       	 Size--750ml	 STD_QTY--1	 YTD--40
Brand--ANDRE                           Description--EXTRA DRY CHAMPAGNE  	 Size--750ml	 STD_QTY--1	 YTD--33
Brand--ANDRE                           Description--COLD DUCK            	 Size--750ml	 STD_QTY--1	 YTD--19
Brand--ANDRE                           Description--SPUMANTE             	 Size--750ml	 STD_QTY--1	 YTD--10
Brand--ANDRE                           Description--PINK MOSCATO         	 Size--750ml	 STD_QTY--1	 YTD--15
Brand--ANDRE                           Description--MOSCATO SPARKING     	 Size--750ml	 STD_QTY--1	 YTD--4
Brand--ANDRERRA                        Description--SAUVIGNON BLANC      	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--ANDRERRA                        Description--CAB                  	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--ANDRERRA                        Description--CARMENERE            	 Size--750ml	 STD_QTY--1	 YTD--3
Brand--ANDY CAPP'S                     Description--FRIES                	 Size--     	 STD_QTY--0	 YTD--275
Brand--ANGOSTURA                       Description--BITTERS              	 Size--4-8OZ	 STD_QTY--1	 YTD--5
Brand--ANGRY ORCHARD                   Description--CRIP APPLE           	 Size--12 OZ	 STD_QTY--6	 YTD--1746
Brand--ANGRY ORCHARD                   Description--DRY                  	 Size--12 OZ	 STD_QTY--6	 YTD--0
Brand--ANGRY ORCHARD                   Description--GREEN APPLE          	 Size--12 OZ	 STD_QTY--6	 YTD--558
Brand--ANGRY ORCHARD                   Description--SUMMER HONEY         	 Size--12 OZ	 STD_QTY--6	 YTD--36
Brand--ANGRY ORCHARD HONEY             Description--CINNFUL              	 Size--12 OZ	 STD_QTY--6	 YTD--780
Brand--ANGRY ORCHARD ZZ                Description--APPLE GINGER         	 Size--12 OZ	 STD_QTY--6	 YTD--0
Brand--APOTHIC                         Description--RED                  	 Size--750ml	 STD_QTY--1	 YTD--50
Brand--APOTHIC                         Description--WHITE                	 Size--750ml	 STD_QTY--1	 YTD--11
Brand--APOTHIC                         Description--PINK                 	 Size--750ml	 STD_QTY--1	 YTD--5
Brand--APOTHIC                         Description--DARK                 	 Size--750ml	 STD_QTY--1	 YTD--10
Brand--APPLETON ESTATE                 Description--VX JAMAICAN RUM      	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--APPLETON ESTATE                 Description--12 YEARS             	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--APPLETON ESTATE                 Description--RESERVE              	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--APPLETON ESTATE                 Description--JAMAICAN RUM         	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--APPLETON ESTATE SB              Description--JAMAICAN RUM         	 Size--     	 STD_QTY--1	 YTD--1
Brand--AQUA PERFECTA                   Description--PEAR LIQUEUR         	 Size--375ml	 STD_QTY--1	 YTD--0
Brand--ARBOR MIST                      Description--PEACH CHARDONNAY     	 Size--750ml	 STD_QTY--1	 YTD--3
Brand--ARBOR MIST                      Description--EXOTIC FRUIT WHIT ZIN	 Size--750ml	 STD_QTY--1	 YTD--15
Brand--ARBOR MIST                      Description--STRAWBERRY WHITE ZIN 	 Size--750ml	 STD_QTY--1	 YTD--14
Brand--ARBOR MIST                      Description--EXOTIC FRUIT WHITE ZI	 Size--1.5L 	 STD_QTY--1	 YTD--41
Brand--ARBOR MIST                      Description--STRAWBERRY WHITE ZIN 	 Size--1.5L 	 STD_QTY--1	 YTD--18
Brand--ARBOR MIST                      Description--SANGRIA ZINFANDEL    	 Size--750ml	 STD_QTY--1	 YTD--34
Brand--ARBOR MIST                      Description--SANGRIA ZINFANDEL    	 Size--1.5L 	 STD_QTY--1	 YTD--88
Brand--ARBOR MIST                      Description--BLACKBERRY MERLOT    	 Size--750ml	 STD_QTY--1	 YTD--52
Brand--ARBOR MIST                      Description--ISLAND FRUIT PINOT GR	 Size--750ml	 STD_QTY--1	 YTD--9
Brand--ARBOR MIST                      Description--ISLAND FRUIT PINOT GR	 Size--1.5L 	 STD_QTY--1	 YTD--15
Brand--ARBOR MIST                      Description--BLKBERRY MERLOT      	 Size--1.5L 	 STD_QTY--1	 YTD--412
Brand--ARBOR MIST                      Description--TF CHARD             	 Size--750ml	 STD_QTY--1	 YTD--12
Brand--ARBOR MIST                      Description--MELON WHT ZINF       	 Size--750ml	 STD_QTY--1	 YTD--12
Brand--ARBOR MIST                      Description--MIX BERRY PINOT NOI  	 Size--1.5L 	 STD_QTY--1	 YTD--12
Brand--ARBOR MIST                      Description--CRANBERRY WHITE MERLO	 Size--1.5L 	 STD_QTY--1	 YTD--24
Brand--ARBOR MIST                      Description--MELON WHT ZINF       	 Size--1.5L 	 STD_QTY--1	 YTD--8
Brand--ARBOR MIST                      Description--CRANBERRY WHITE MERLO	 Size--750ml	 STD_QTY--1	 YTD--30
Brand--ARBOR MIST                      Description--WHITEPEAR PINOTGRIS  	 Size--750ml	 STD_QTY--1	 YTD--8
Brand--ARBOR MIST                      Description--WHIT PEARPINOT GRIGIO	 Size--1.5L 	 STD_QTY--1	 YTD--22
Brand--ARBOR MIST                      Description--POMGRNT.BERY PINOT NO	 Size--1.5L 	 STD_QTY--1	 YTD--56
Brand--ARBOR MIST                      Description--POMGRNT.BERY PINOT NO	 Size--750ml	 STD_QTY--1	 YTD--19
Brand--ARBOR MIST                      Description--MANGO STRAWBERRY     	 Size--1.5L 	 STD_QTY--1	 YTD--38
Brand--ARBOR MIST                      Description--MANGO STRAWBERY MASCO	 Size--750ml	 STD_QTY--1	 YTD--32
Brand--ARBOR MIST                      Description--PINK MOSCATO RASBRY  	 Size--1.5L 	 STD_QTY--1	 YTD--24
Brand--ARBOR MIST                      Description--PINK MOSCATO RASBRY  	 Size--750ml	 STD_QTY--1	 YTD--19
Brand--ARBOR MIST                      Description--RED MOSCATO CHERRY   	 Size--750ml	 STD_QTY--1	 YTD--16
Brand--ARBOR MIST                      Description--MOSCATO PEACH        	 Size--750ml	 STD_QTY--1	 YTD--34
Brand--ARBOR MIST                      Description--RED MOSCATO CHERRY   	 Size--1.5L 	 STD_QTY--1	 YTD--42
Brand--ARBOR MIST                      Description--MOSCATO PEACH        	 Size--1.5L 	 STD_QTY--1	 YTD--29
Brand--ARBOR MIST FROZEN               Description--MARGARITA            	 Size--10OZ 	 STD_QTY--1	 YTD--32
Brand--ARBOR MIST ZZ                   Description--ORCHARD FRUITS       	 Size--1.5L 	 STD_QTY--1	 YTD--0
Brand--ARBOR MISTZZ                    Description--TROPI FRUIT CHARDDONY	 Size--1.5L 	 STD_QTY--1	 YTD--0
Brand--ARBORITA                        Description--LIME MARGARITA       	 Size--750ml	 STD_QTY--1	 YTD--4
Brand--ARBORITA                        Description--STRAWBERRY MARGARITA 	 Size--750ml	 STD_QTY--1	 YTD--17
Brand--ARBORITA                        Description--MANGO MARGARITA      	 Size--750ml	 STD_QTY--1	 YTD--5
Brand--ARDBEG                          Description--10 YEAR SCOTCH       	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--ARIZONA                         Description--ICED TEA             	 Size--24oz 	 STD_QTY--1	 YTD--3884
Brand--ARROGANT BASTARD                Description--ALE                  	 Size--22OZ 	 STD_QTY--1	 YTD--160
Brand--ASBACH URALT                    Description--BRANDY GERMANY       	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--AVIATOR                         Description--BEE PLAYING CARDS    	 Size--ODD  	 STD_QTY--1	 YTD--185
Brand--AVION                           Description--TEQUILA SILVER       	 Size--750ml	 STD_QTY--1	 YTD--30
Brand--AVION                           Description--TEQUILA              	 Size--50 ml	 STD_QTY--1	 YTD--40
Brand--AVION                           Description--TEQUILA SILVER       	 Size--.375L	 STD_QTY--1	 YTD--38
Brand--AVION                           Description--REPOSADO             	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--B & B                           Description--LIQUEUR              	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--B & B                           Description--LIUOR                	 Size--50 ml	 STD_QTY--1	 YTD--3
Brand--B & G                           Description--MERLOT               	 Size--1.5L 	 STD_QTY--1	 YTD--0
Brand--B & G ZZ                        Description--CHARDONNAY           	 Size--1.5L 	 STD_QTY--1	 YTD--0
Brand--B&G                             Description--PINOT NOIR           	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--B&G                             Description--CHARDONNY            	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--BACARDI                         Description--BIG APPLE RUM ZZ     	 Size--750ml	 STD_QTY--1	 YTD--4
Brand--BACARDI                         Description--GOLD RUM             	 Size--50 ml	 STD_QTY--1	 YTD--25
Brand--BACARDI                         Description--LIMON                	 Size--1.75L	 STD_QTY--1	 YTD--9
Brand--BACARDI                         Description--LIGHT RUM            	 Size--1.75L	 STD_QTY--1	 YTD--267
Brand--BACARDI                         Description--LIGHT RUM            	 Size--.375L	 STD_QTY--1	 YTD--479
Brand--BACARDI                         Description--LIGHT RUM            	 Size--.200L	 STD_QTY--1	 YTD--107
Brand--BACARDI                         Description--LIGHT RUM            	 Size--50 ml	 STD_QTY--1	 YTD--1008
Brand--BACARDI                         Description--GOLD RUM             	 Size--1.75L	 STD_QTY--1	 YTD--93
